Cnot11	Cnot12	Cnot13	Ctrl1	Ctrl2	Ctrl3
ENSG00000000003	1	1	2	1	1	1
ENSG00000000419	34	56	35	15	34	39
ENSG00000000457	15	20	18	12	4	11
ENSG00000000460	12	22	15	9	9	10
ENSG00000000938	0	0	0	1	0	3
ENSG00000000971	3	6	1	6	7	1
ENSG00000001036	0	0	0	0	1	0
ENSG00000001084	11	7	10	3	5	6
ENSG00000001167	18	16	21	4	10	10
ENSG00000001460	11	6	15	5	6	10
ENSG00000001461	18	20	16	13	18	16
ENSG00000001497	22	45	49	33	41	53
ENSG00000001617	13	19	16	16	26	17
ENSG00000001626	0	0	0	0	0	1
ENSG00000001629	4	14	15	8	13	5
ENSG00000001630	39	21	33	13	13	12
ENSG00000001631	39	65	53	29	39	34
ENSG00000002016	2	3	4	2	7	4
ENSG00000002330	21	31	23	14	22	17
ENSG00000002549	106	159	147	78	136	114
ENSG00000002586	52	95	85	140	245	134
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	1
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	10	16	13	3	6	4
ENSG00000002822	62	57	56	25	49	38
ENSG00000002834	63	128	95	35	65	70
ENSG00000002919	12	26	12	6	11	13
ENSG00000002933	0	0	0	1	1	0
ENSG00000003056	75	96	101	40	57	56
ENSG00000003096	4	7	12	6	4	11
ENSG00000003137	2	9	5	3	0	7
ENSG00000003147	6	16	7	11	4	19
ENSG00000003249	0	0	1	0	2	3
ENSG00000003393	14	20	34	17	11	16
ENSG00000003400	3	4	3	0	0	1
ENSG00000003402	22	24	26	11	14	13
ENSG00000003436	22	35	35	11	25	21
ENSG00000003509	2	3	6	6	7	9
ENSG00000003756	8	17	19	6	8	12
ENSG00000003987	0	0	0	0	0	0
ENSG00000003989	6	4	9	4	9	2
ENSG00000004059	0	0	2	0	0	0
ENSG00000004139	0	3	6	4	0	8
ENSG00000004142	46	45	5	39	65	43
ENSG00000004399	132	190	187	69	97	81
ENSG00000004455	57	67	64	39	54	56
ENSG00000004468	1	2	1	2	4	1
ENSG00000004478	3	11	13	8	8	9
ENSG00000004487	86	143	134	52	68	74
ENSG00000004534	43	69	48	1	13	71
ENSG00000004660	2	3	3	0	2	5
ENSG00000004700	29	50	43	24	47	44
ENSG00000004766	6	8	8	19	25	11
ENSG00000004776	0	0	1	0	0	2
ENSG00000004777	8	7	3	7	12	17
ENSG00000004779	18	23	21	8	13	13
ENSG00000004809	1	4	2	0	0	1
ENSG00000004838	3	1	0	0	1	1
ENSG00000004846	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0
ENSG00000004864	27	78	68	26	40	48
ENSG00000004866	22	48	31	14	31	26
ENSG00000004897	23	141	43	51	65	29
ENSG00000004939	0	1	0	0	0	0
ENSG00000004948	0	0	2	0	1	0
ENSG00000004961	16	26	21	8	22	13
ENSG00000004975	7	50	45	29	30	23
ENSG00000005001	0	0	0	0	0	0
ENSG00000005007	197	230	240	151	229	233
ENSG00000005020	0	1	0	1	2	0
ENSG00000005073	2	0	3	0	2	0
ENSG00000005075	38	52	28	15	21	25
ENSG00000005100	14	13	28	14	13	13
ENSG00000005102	0	0	0	0	0	0
ENSG00000005108	0	1	0	0	1	0
ENSG00000005156	12	24	26	12	6	13
ENSG00000005175	39	50	83	23	0	28
ENSG00000005187	1	4	0	0	0	1
ENSG00000005189	3	5	4	6	7	15
ENSG00000005194	30	33	27	22	24	22
ENSG00000005206	16	25	12	12	20	16
ENSG00000005238	48	54	54	27	43	38
ENSG00000005243	1	2	3	1	1	3
ENSG00000005302	14	0	3	10	6	0
ENSG00000005339	19	195	23	52	11	91
ENSG00000005379	4	9	9	1	7	9
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	12	4	11	7	12	8
ENSG00000005448	5	12	10	6	12	15
ENSG00000005469	5	16	15	2	9	4
ENSG00000005471	0	15	16	0	6	0
ENSG00000005483	47	70	59	46	47	43
ENSG00000005486	24	24	13	9	22	16
ENSG00000005700	0	73	32	14	11	32
ENSG00000005801	18	19	16	6	34	18
ENSG00000005810	66	126	94	48	84	84
ENSG00000005812	3	2	4	0	2	0
ENSG00000005844	0	0	0	0	1	0
ENSG00000005882	40	16	24	20	22	24
ENSG00000005884	79	154	108	51	80	56
ENSG00000005889	38	54	48	22	38	45
ENSG00000005893	56	34	78	47	30	85
ENSG00000005961	0	0	0	0	0	0
ENSG00000005981	0	0	0	0	0	0
ENSG00000006007	4	8	2	5	7	1
ENSG00000006015	5	10	6	1	11	8
ENSG00000006016	2	0	0	0	9	0
ENSG00000006025	2	4	2	0	2	3
ENSG00000006042	17	23	21	17	23	22
ENSG00000006047	0	0	0	1	2	2
ENSG00000006062	2	3	3	2	1	4
ENSG00000006071	0	0	1	1	0	1
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	143	166	154	141	202	227
ENSG00000006125	166	236	225	99	133	177
ENSG00000006128	0	0	0	3	3	2
ENSG00000006194	4	10	14	3	9	11
ENSG00000006210	0	0	0	0	0	1
ENSG00000006282	27	18	27	18	23	25
ENSG00000006283	6	9	3	3	10	9
ENSG00000006327	88	86	88	45	75	56
ENSG00000006377	0	0	0	0	1	0
ENSG00000006432	20	27	19	13	22	21
ENSG00000006451	12	15	2	1	12	8
ENSG00000006459	4	3	7	3	2	6
ENSG00000006468	24	43	25	8	16	12
ENSG00000006530	9	13	4	0	12	11
ENSG00000006534	12	14	4	3	2	13
ENSG00000006555	0	2	1	0	0	4
ENSG00000006576	54	72	84	28	40	36
ENSG00000006606	1	4	0	2	2	5
ENSG00000006607	19	18	30	9	13	21
ENSG00000006611	0	2	3	2	0	2
ENSG00000006625	4	11	10	5	13	7
ENSG00000006634	5	2	18	3	6	9
ENSG00000006638	7	6	6	2	4	7
ENSG00000006652	68	110	120	18	21	41
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	4	17	6	2	7	4
ENSG00000006704	64	90	78	26	37	35
ENSG00000006712	18	14	29	21	10	13
ENSG00000006715	5	29	19	37	40	60
ENSG00000006740	5	10	10	9	5	7
ENSG00000006744	107	135	121	51	79	86
ENSG00000006747	4	0	3	0	1	0
ENSG00000006756	3	3	2	0	2	5
